danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.577,0.683,6,-7.328,0,0.0394,0.289,2.96e-05,0.451,0.779,99.55,191027,4
0.598,0.229,2,-16.059,0,0.0365,0.823,0.000367,0.303,0.453,138.552,346213,4
0.817,0.681,1,-7.905,1,0.111,0.0216,0.00431,0.066,0.691,99.738,292333,4
0.683,0.296,7,-15.301,1,0.0341,0.663,4.47e-06,0.082,0.826,97.363,232800,4
0.518,0.493,2,-9.534,1,0.0293,0.778,0.00287,0.216,0.461,101.819,437707,4
0.647,0.754,2,-9.867,0,0.0554,0.0275,6.75e-06,0.145,0.774,99.783,178693,4
0.592,0.505,6,-7.182,1,0.0426,0.894,0.108,0.0956,0.87,112.901,202933,3
0.683,0.872,9,-4.363,1,0.392,0.0295,0.0,0.0401,0.716,155.656,227733,4
0.794,0.577,2,-8.549,1,0.111,0.00594,0.37,0.0708,0.645,82.46,299600,4
0.396,0.234,0,-13.788,1,0.097,0.943,9.05e-05,0.582,0.355,171.729,187853,3
0.415,0.782,2,-6.745,1,0.0461,0.0011,0.0,0.14,0.564,135.029,148480,4
0.402,0.0282,3,-22.641,1,0.0412,0.913,8.14e-05,0.108,0.3,119.081,198133,4
0.244,0.359,7,-9.668,0,0.0317,0.818,0.0,0.589,0.211,85.652,191533,1
0.519,0.875,0,-6.488,1,0.132,0.223,0.0,0.0915,0.766,152.092,233333,4
0.669,0.861,2,-3.547,1,0.0929,0.0273,0.0,0.0586,0.72,133.82,220187,4
0.863,0.68,8,-8.419,1,0.107,0.074,2.79e-05,0.0847,0.966,113.138,185640,4
0.351,0.348,5,-16.658,1,0.0572,0.809,9.32e-05,0.0905,0.43,181.39,638600,3
0.439,0.0484,7,-18.169,1,0.0622,0.81,0.0,0.241,0.432,83.919,160899,3
0.363,0.963,11,-9.528,0,0.269,0.00607,0.0,0.139,0.282,140.984,216800,4
0.534,0.0247,8,-21.58,1,0.0362,0.987,0.00136,0.096,0.214,68.366,186640,4
0.551,0.88,2,-6.735,1,0.115,0.498,2.75e-05,0.911,0.761,147.921,287893,4
0.288,0.202,7,-19.565,0,0.0473,0.755,0.000137,0.0733,0.282,173.365,211400,4
0.698,0.11,6,-20.665,1,0.0638,0.994,0.278,0.181,0.413,93.135,44600,4
0.677,0.449,6,-9.8,1,0.034,0.72,0.0,0.165,0.378,112.926,133160,4
0.771,0.861,7,-4.362,1,0.0862,0.0231,0.856,0.0372,0.723,90.175,238960,4
0.498,0.42,5,-9.55,0,0.068,0.202,0.0113,0.241,0.827,182.668,452373,4
0.675,0.643,7,-6.004,1,0.0315,0.233,0.0,0.561,0.325,114.051,211293,3
0.162,0.146,9,-16.497,1,0.0349,0.822,0.0,0.113,0.165,63.381,195480,3
0.551,0.188,5,-11.63,1,0.315,0.995,0.508,0.185,0.67,67.515,209485,3
0.688,0.224,9,-13.569,1,0.0466,0.847,6.56e-05,0.3,0.521,123.459,191053,3
0.409,0.118,7,-18.433,1,0.0407,0.955,0.751,0.0925,0.322,121.243,574667,3
0.426,0.00815,1,-30.165,1,0.0472,0.991,0.788,0.0664,0.091,122.889,181467,4
0.525,0.809,1,-6.185,0,0.0619,0.0819,1.22e-06,0.0971,0.21,127.073,244907,4
0.651,0.558,4,-9.521,1,0.0318,0.527,0.0,0.241,0.898,134.04,181147,4
0.434,0.588,9,-7.363,1,0.0337,0.293,5.26e-05,0.0834,0.224,140.622,215427,4
0.651,0.676,2,-8.911,0,0.0382,0.331,0.0,0.0319,0.905,124.575,234667,4
0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,255067,3
0.47,0.934,4,-9.208,0,0.0673,0.0635,5.7e-05,0.862,0.513,115.763,108173,4
0.585,0.906,0,-5.152,1,0.0349,0.00635,0.00195,0.205,0.981,98.824,113293,4
0.426,0.289,0,-9.036,1,0.0573,0.993,0.00019,0.126,0.528,100.439,165172,4
0.781,0.229,9,-12.621,1,0.0419,0.821,8.25e-06,0.0638,0.761,127.829,132973,4
0.555,0.149,5,-19.078,1,0.125,0.765,7.25e-06,0.166,0.644,141.958,46747,4
0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54e-05,0.108,0.472,94.982,240427,4
